accuracy,id,lat,lng,speed,time,type,state,stepCount,dbscan output,beaconData
59.8,0,37.538454,126.644745,0.0,4789714659639754752,START,WALK,406,1.0,
57.4,0,37.538363,126.644877,3.11,4789714659664330752,NORMAL,WALK,406,1.0,
10.5,0,37.53839,126.645094,1.31,4789714659721674752,NORMAL,WALK,31,1.0,
10.5,0,37.53839,126.645094,1.31,4789714660477461901,END,,0,1.0,
49.1,0,37.539579,126.645896,0.0,4789714660475338752,START,WALK,237,1.0,
48.7,0,37.540592,126.646622,0.0,4789714661085642752,STOP,WALK,117,1.0,
48.7,0,37.540592,126.646622,0.0,4789714706900730688,END,,0,1.0,
19.6,0,37.538832,126.646592,3.74,4789714706944458752,START,WALK,3,1.0,
58.1,0,37.537541,126.647544,0.0,4789714707661258752,STOP,WALK,153,1.0,
58.1,0,37.537541,126.647544,0.0,4789714892740042654,END,,0,1.0,
51.6,0,37.537575,126.644617,0.0,4789714999939530752,START,WALK,0,1.0,
36.4,0,37.537419,126.644694,0.54,4789714999960010752,STOP,WALK,8,1.0,
36.4,0,37.537419,126.644694,0.54,4789715000768425341,END,,0,1.0,
51.8,0,37.53815,126.646366,0.0,4789715000766922752,START,WALK,3,1.0,
59.7,0,37.538282,126.648153,0.0,4789715001405898752,STOP,WALK,280,1.0,
59.7,0,37.538282,126.648153,0.0,4789715046365412400,END,,0,1.0,
55.8,0,37.537519,126.649256,0.0,4789715046363594752,START,WALK,373,1.0,
20.8,0,37.537328,126.64891,2.23,4789715046388170752,NORMAL,WALK,5,1.0,
55.8,0,37.53605,126.649401,0.0,4789715046965706752,STOP,WALK,189,1.0,
55.8,0,37.53605,126.649401,0.0,4789715064331683135,END,,0,1.0,
51.9,0,37.53682,126.649327,0.0,4789715068215754752,START,WALK,11,1.0,
62.3,0,37.538164,126.648746,0.0,4789715068916170752,STOP,WALK,255,1.0,
62.3,0,37.538164,126.648746,0.0,4789715212533462188,END,,0,1.0,
8.2,0,37.534911,126.649519,13.12,4789715212669386752,START,AUTOMOBILE,174,1.0,
8.2,0,37.534351,126.649508,9.8,4789715212693962752,NORMAL,AUTOMOBILE,174,1.0,
