,F1,grid_path
258,AN,"['VKDDBDD', 'VKDDBDB', 'VLCCACA', 'VLCCAAC', 'VLCCAAD', 'VLCCAAB', 'VLCCABA', 'VLCACDC', 'VLCCABA', 'VLCCAAB', 'VLCCABA']"
259,N,"['VLCACDC', 'VLCCABA', 'VLCCAAB', 'VLCCABA', 'VLCCAAB', 'VLCCABA']"
260,N,"['VLCCAAB', 'VLCACDC']"
261,N,['UIBCCBD']
262,N,['UIBCCBD']
263,N,['UIBCCBD']
264,N,['UIBCCBD']
265,N,['UIBCCBD']
266,N,"['UIBCCDB', 'UIBCCDA', 'UIBCCDB']"
267,N,['UIBCCBD']
268,N,['UIBCCBD']
269,N,['UIBCCBD']
270,N,"['UIBCCBD', 'UIBCCBC', 'UIBCCDA']"
271,AN,"['UIBCCDA', 'UIBCCDB', 'UIBCCDD', 'UIDAABB', 'UIDAABD', 'UIDAADB', 'UIDAADD', 'UIDABCC', 'UIDADAA', 'UIDADAB', 'UIDADBA', 'UIDABDC']"
272,AN,"['UIDADBA', 'UIDABDC', 'UIDABDA', 'UIDABBC', 'UIDABBA', 'UIBCDDC', 'UIBCDCD', 'UIBCDCC', 'UIBCCDD', 'UIBCCDB', 'UIBCCBD']"
273,N,['UIBCCBD']
274,N,['UIBCCBD']
275,N,['UIBCCBD']
276,N,['UIBCCBD']
277,N,['UIBCCBD']
278,N,['UIBCCBD']
279,N,"['UIBCCBD', 'UIBCCBC']"
280,N,['UIBCCBD']
281,N,['UIBCCBD']
282,N,['UIBCCDB']
283,N,"['UIBCCDB', 'UIBCCBD']"
284,N,['UIBCCBD']
285,N,"['UIBCCBD', 'UIBCCDB', 'UIBCCDD', 'UIDAABB', 'UIDAABD']"
286,N,['UIDAABD']
287,N,"['UIDAABD', 'UIDAABB', 'UIBCCDD', 'UIBCCDB', 'UIBCCDA']"
288,AN,"['TJADBBD', 'TJABDDD']"
289,N,['UIBCCBD']
290,N,['UIBCCBD']
291,N,['UIBCCBD']
292,N,['UIBCCBD']
293,N,['UIBCCBD']
294,N,"['UIBCCAD', 'UIBCCCB']"
295,N,"['UIBCCAD', 'UIBCCBC', 'UIBCCBD']"
296,N,['UIBCCBD']
297,N,['UIBCCBD']
298,N,['UIBCCBD']
299,N,['UIBCCBD']
300,N,['UIBCCDB']
301,N,['UIBCCBD']
302,N,['UIBCCDB']
303,N,"['UIBCCBD', 'UIBCCDB', 'UIBCCBD']"
304,AN,"['UKCCCBD', 'UKCCCBC', 'UKCCCDA', 'UKCCCCB', 'UKCCCCC', 'UKCCCCD']"
305,AN,"['UIDABDC', 'UIDABDA', 'UIDABBC', 'UIDABBA', 'UIBCDDC', 'UIBCDCD', 'UIBCDCC', 'UIBCCDD', 'UIBCCDB', 'UIBCCDA', 'UIBCCCB', 'UIBCCAD', 'UIBCCBC', 'UIBCCBD']"
306,N,"['UIBCCBD', 'UIBCCBC']"
307,N,['UIBCCBD']
308,N,"['UIBCCBC', 'UIBCCDA']"
309,N,"['UIBCCBC', 'UIBCCBD']"
310,N,['UIBCCBD']
311,N,['UIBCCBD']
312,N,"['UIBCCDB', 'UIBCCDA', 'UIBCCDB']"
313,N,"['UIBCCDB', 'UIBCCBD']"
314,N,['UIBCCBD']
315,N,['UIBCCBD']
316,N,['UIBCCBD']
317,N,['UIBCCBD']
318,N,['UIBCCDB']
319,N,['UIBCCDB']
320,N,['UIBCCBD']
321,N,['UIBCCBD']
322,N,['UIBCCBD']
323,N,['UIBCCBD']
324,N,['UIBCCBD']
325,N,"['UIBCDAA', 'UIBCCBD']"
326,N,"['UIBCCBD', 'UIBCCDB']"
327,N,"['UIBCCBD', 'UIBCCBB']"
328,N,['UIBCCBD']
329,N,['UIBCCBD']
330,N,['UIBCCBD']
331,AN,"['OQDDBCA', 'OQDDBBC', 'OQDDBBD', 'ORCCAAC', 'ORCCAAA', 'ORCACCC', 'ORCACCD', 'ORCACDC', 'ORCACDA', 'ORCACDB']"
332,AN,['ORCACDB']
333,AN,['ORCDCAA']
334,AN,"['ORCDCAA', 'ORCDCAC']"
335,N,['UIBCCBD']
336,N,['UIBCCBD']
337,N,['UIBCCBD']
338,N,['UIBCCBD']
339,N,"['UIBCCBD', 'UIBCCDB', 'UIBCCBD']"
340,N,['UIBCCBD']
341,N,"['UIBCDAC', 'UIBCBCD']"
342,N,['UIBCCBD']
343,N,['UIBCCBD']
344,N,['UIBCCBD']
345,N,['UIBCCBD']
346,N,['UIBCCBD']
347,N,['UIBCCBD']
348,N,['UIBCCBD']
349,N,['UIBCCBD']
350,N,['UIBCCBD']
351,N,['UIBCCBD']
352,N,"['UIBCCBD', 'UIBCCDB']"
353,N,"['UIBCCDB', 'UIBCCBD']"
354,N,['UIBCCBD']
355,AN,"['UIBCCBD', 'UIBCDAC', 'UIBCDAD', 'UIBCDAB', 'UIBCDBA', 'UIBCDBB', 'UIBDCAA', 'UIBDCAB', 'UIBDCBA', 'UIBDCBC', 'UIBDCBD', 'UIBDDAC']"
356,AN,"['UIBDCBC', 'UIBDCBA', 'UIBDCAB', 'UIBDCAA', 'UIBCDBB', 'UIBCDBA', 'UIBCDAB', 'UIBCDAA', 'UIBCCBB', 'UIBCCBD']"
357,N,['UIBCCBD']
358,N,['UIBCCBC']
359,N,['UIBCCDB']
360,N,"['UIBCCDB', 'UIBCDCA']"
361,N,['UIBCDCA']
362,N,['UIBCCDB']
363,N,['UIBCCBD']
364,N,['UIBCCBD']
365,N,['UIBCCBD']
366,N,['UIBCCBD']
367,N,['UIBCCBD']
368,N,['UIBCCBD']
369,N,"['UIBCCBD', 'UIBCCBC']"
370,N,['UIBCCBD']
371,N,['UIBCCBD']
372,N,['UIBCCBD']
373,N,"['UIBCCDB', 'UIBCCBD']"
374,N,"['UIBCCBD', 'UIBCCBC', 'UIBCCDA']"
375,AN,"['UHDADDA', 'UHDADDC', 'UHDADCD', 'UHDADCB', 'UHDADCD']"
376,N,['UIBCCDB']
377,N,['UIBCCBD']
378,N,['UIBCCBD']
379,N,['UIBCCBD']
380,N,['UIBCCBD']
381,N,['UIBCCBD']
382,N,['UIBCCBD']
383,N,['UIBCCBD']
384,N,['UIBCCBD']
385,N,"['UIBCCDB', 'UIBCCBD']"
386,AN,"['UIBCADC', 'UICAABC']"
387,N,['UIBCCBD']
388,N,['UIBCCBD']
389,N,['UIBCCBD']
390,N,['UIBCCBD']
391,N,['UIBCCBD']
392,N,['UIBCCBD']
393,N,['UIBCCBD']
394,N,['UIBCCBD']
395,N,['UIBCCBD']
396,N,['UIBCCBD']
397,N,['UIBCCBD']
398,N,['UIBCCBC']
399,N,['UIBCCBD']
400,AN,"['UIBCCBB', 'UIBCADD', 'UIBCADC', 'UIBCADA', 'UIBCACB', 'UIBCADA', 'UIBCABC', 'UIBCABD', 'UIBCBAC', 'UIBCBCA', 'UIBCBAC']"
401,AN,"['UIBCACC', 'UIADBDD', 'UIADDBB', 'UIADDBD', 'UIADDDB', 'UIADDDD', 'UICBBBB', 'UIADDDD']"
402,N,"['UIBCCCD', 'UIDAABB']"
403,N,"['UIBCCDB', 'UIDAABB']"
404,N,"['UIBCCDD', 'UIBCCBD']"
405,N,['UIBCCBD']
406,N,['UIBCCBD']
407,N,['UIBCCBD']
408,N,['UIBCCBD']
409,N,['UIBCCBD']
410,N,['UIBCCBC']
411,N,['UIBCCBD']
412,N,['UIBCCBD']
413,N,"['UIBCCDB', 'UIBCCBD']"
414,N,['UJABBAB']
415,N,['UJABBAB']
416,AN,"['UJABBAB', 'UJABBAA']"
417,N,['UJABBAB']
418,AN,['UJABBAA']
419,N,"['UIBCCDB', 'UIBCCBD']"
420,N,"['UIBCCBD', 'UIBCCBB']"
421,N,['UIBCCBD']
422,N,['UIBCCBD']
423,N,"['UIBCCBD', 'UIBCCBC']"
424,N,['UIBCCBD']
425,N,['UIBCCBD']
426,N,['UIBCCBD']
427,N,['UIBCCBD']
428,N,"['UIBCCBD', 'UIBCCBC']"
429,N,['UIBCCBD']
430,N,"['UIBCDCA', 'UIBCCDB', 'UIBCCBD']"
431,N,['UIBCCBD']
432,N,['UIBCCBD']
433,N,['UIBCCBD']
434,N,['UIBCCBD']
435,N,['UIBCCDB']
436,N,"['UIBCCDB', 'UIBCCBD']"
437,N,['UIBCCBD']
438,N,['UJBCBBB']
439,N,['UJBCBBB']
440,N,['UJBCBBB']
441,AN,['UJBADDD']
442,N,['UIBCCBD']
443,N,['UIBCCBD']
444,N,['UIBCCBD']
445,N,['UIBCCBD']
446,N,"['UIBCCBD', 'UIBCCBC']"
447,N,"['UIBCCBC', 'UIBCCDA']"
448,N,['ULBBBBD']
449,AN,"['ULBBBBD', 'ULBBBBC', 'ULBBBBD', 'ULBBBBA']"
450,AN,['ULBBBBC']
451,AN,"['VLCDDBB', 'UKBABDB', 'UKABDCD', 'UJBDCCD', 'UJDBAAA']"
452,N,['UIBCCBD']
