Unnamed: 0,F1,grid_path,DBSCAN output
331,AN,"['OQDDBCA', 'OQDDBBC', 'OQDDBBD', 'ORCCAAC', 'ORCCAAA', 'ORCACCC', 'ORCACCD', 'ORCACDC', 'ORCACDA', 'ORCACDB']",AN
332,AN,['ORCACDB'],AN
333,AN,['ORCDCAA'],AN
334,AN,"['ORCDCAA', 'ORCDCAC']",AN
335,N,['UIBCCBD'],N
336,N,['UIBCCBD'],N
337,N,['UIBCCBD'],N
338,N,['UIBCCBD'],N
339,N,"['UIBCCBD', 'UIBCCDB', 'UIBCCBD']",N
340,N,['UIBCCBD'],N
341,N,"['UIBCDAC', 'UIBCBCD']",N
342,N,['UIBCCBD'],N
343,N,['UIBCCBD'],N
344,N,['UIBCCBD'],N
345,N,['UIBCCBD'],N
346,N,['UIBCCBD'],N
347,N,['UIBCCBD'],N
348,N,['UIBCCBD'],N
349,N,['UIBCCBD'],N
350,N,['UIBCCBD'],N
351,N,['UIBCCBD'],N
352,N,"['UIBCCBD', 'UIBCCDB']",N
353,N,"['UIBCCDB', 'UIBCCBD']",N
354,N,['UIBCCBD'],N
355,AN,"['UIBCCBD', 'UIBCDAC', 'UIBCDAD', 'UIBCDAB', 'UIBCDBA', 'UIBCDBB', 'UIBDCAA', 'UIBDCAB', 'UIBDCBA', 'UIBDCBC', 'UIBDCBD', 'UIBDDAC']",N
356,AN,"['UIBDCBC', 'UIBDCBA', 'UIBDCAB', 'UIBDCAA', 'UIBCDBB', 'UIBCDBA', 'UIBCDAB', 'UIBCDAA', 'UIBCCBB', 'UIBCCBD']",N
357,N,['UIBCCBD'],N
358,N,['UIBCCBC'],N
359,N,['UIBCCDB'],N
360,N,"['UIBCCDB', 'UIBCDCA']",N
361,N,['UIBCDCA'],N
362,N,['UIBCCDB'],N
363,N,['UIBCCBD'],N
364,N,['UIBCCBD'],N
365,N,['UIBCCBD'],N
366,N,['UIBCCBD'],N
367,N,['UIBCCBD'],N
368,N,['UIBCCBD'],N
369,N,"['UIBCCBD', 'UIBCCBC']",N
370,N,['UIBCCBD'],N
371,N,['UIBCCBD'],N
372,N,['UIBCCBD'],N
373,N,"['UIBCCDB', 'UIBCCBD']",N
374,N,"['UIBCCBD', 'UIBCCBC', 'UIBCCDA']",N
375,AN,"['UHDADDA', 'UHDADDC', 'UHDADCD', 'UHDADCB', 'UHDADCD']",AN
376,N,['UIBCCDB'],N
377,N,['UIBCCBD'],N
378,N,['UIBCCBD'],N
379,N,['UIBCCBD'],N
380,N,['UIBCCBD'],N
381,N,['UIBCCBD'],N
382,N,['UIBCCBD'],N
383,N,['UIBCCBD'],N
384,N,['UIBCCBD'],N
385,N,"['UIBCCDB', 'UIBCCBD']",N
386,AN,"['UIBCADC', 'UICAABC']",N
387,N,['UIBCCBD'],N
388,N,['UIBCCBD'],N
389,N,['UIBCCBD'],N
390,N,['UIBCCBD'],N
391,N,['UIBCCBD'],N
392,N,['UIBCCBD'],N
393,N,['UIBCCBD'],N
394,N,['UIBCCBD'],N
395,N,['UIBCCBD'],N
396,N,['UIBCCBD'],N
397,N,['UIBCCBD'],N
398,N,['UIBCCBC'],N
399,N,['UIBCCBD'],N
400,AN,"['UIBCCBB', 'UIBCADD', 'UIBCADC', 'UIBCADA', 'UIBCACB', 'UIBCADA', 'UIBCABC', 'UIBCABD', 'UIBCBAC', 'UIBCBCA', 'UIBCBAC']",N
401,AN,"['UIBCACC', 'UIADBDD', 'UIADDBB', 'UIADDBD', 'UIADDDB', 'UIADDDD', 'UICBBBB', 'UIADDDD']",N
402,N,"['UIBCCCD', 'UIDAABB']",N
403,N,"['UIBCCDB', 'UIDAABB']",N
404,N,"['UIBCCDD', 'UIBCCBD']",N
405,N,['UIBCCBD'],N
406,N,['UIBCCBD'],N
407,N,['UIBCCBD'],N
408,N,['UIBCCBD'],N
409,N,['UIBCCBD'],N
410,N,['UIBCCBC'],N
411,N,['UIBCCBD'],N
412,N,['UIBCCBD'],N
413,N,"['UIBCCDB', 'UIBCCBD']",N
414,N,['UJABBAB'],N
415,N,['UJABBAB'],N
416,AN,"['UJABBAB', 'UJABBAA']",N
417,N,['UJABBAB'],N
418,AN,['UJABBAA'],N
419,N,"['UIBCCDB', 'UIBCCBD']",N
420,N,"['UIBCCBD', 'UIBCCBB']",N
421,N,['UIBCCBD'],N
422,N,['UIBCCBD'],N
423,N,"['UIBCCBD', 'UIBCCBC']",N
424,N,['UIBCCBD'],N
425,N,['UIBCCBD'],N
426,N,['UIBCCBD'],N
427,N,['UIBCCBD'],N
428,N,"['UIBCCBD', 'UIBCCBC']",N
429,N,['UIBCCBD'],N
430,N,"['UIBCDCA', 'UIBCCDB', 'UIBCCBD']",N
431,N,['UIBCCBD'],N
432,N,['UIBCCBD'],N
433,N,['UIBCCBD'],N
434,N,['UIBCCBD'],N
435,N,['UIBCCDB'],N
436,N,"['UIBCCDB', 'UIBCCBD']",N
437,N,['UIBCCBD'],N
438,N,['UJBCBBB'],N
439,N,['UJBCBBB'],N
440,N,['UJBCBBB'],N
441,AN,['UJBADDD'],N
442,N,['UIBCCBD'],N
443,N,['UIBCCBD'],N
444,N,['UIBCCBD'],N
445,N,['UIBCCBD'],N
446,N,"['UIBCCBD', 'UIBCCBC']",N
447,N,"['UIBCCBC', 'UIBCCDA']",N
448,N,['ULBBBBD'],AN
449,AN,"['ULBBBBD', 'ULBBBBC', 'ULBBBBD', 'ULBBBBA']",AN
450,AN,['ULBBBBC'],AN
451,AN,"['VLCDDBB', 'UKBABDB', 'UKABDCD', 'UJBDCCD', 'UJDBAAA']",AN
452,N,['UIBCCBD'],N
